sample,stage,genotype
E5.5_Stat3null_1,E5.5,Stat3-/-
E5.5_Stat3null_2,E5.5,Stat3-/-
E5.5_Stat3null_3,E5.5,Stat3-/-
E5.5_Stat3null_4,E5.5,Stat3-/-
E5.5_WT_1,E5.5,WT
E5.5_WT_2,E5.5,WT
E6.5_Stat3null_1,E6.5,Stat3-/-
E6.5_Stat3null_2,E6.5,Stat3-/-
E6.5_Stat3null_3,E6.5,Stat3-/-
E6.5_Stat3null_4,E6.5,Stat3-/-
E6.5_Stat3null_5,E6.5,Stat3-/-
E6.5_Stat3null_6,E6.5,Stat3-/-
E6.5_Stat3null_7,E6.5,Stat3-/-
E6.5_Stat3null_8,E6.5,Stat3-/-
E6.5_WT_1,E6.5,WT
E6.5_WT_2,E6.5,WT
E6.5_WT_3,E6.5,WT
E6.5_WT_4,E6.5,WT
E6.5_WT_5,E6.5,WT
E6.5_WT_6,E6.5,WT
E6.5_WT_7,E6.5,WT
E6.5_WT_8,E6.5,WT
E6.5_WT_9,E6.5,WT
E7.5_Stat3null_1,E7.5,Stat3-/-
E7.5_Stat3null_2,E7.5,Stat3-/-
E7.5_Stat3null_3,E7.5,Stat3-/-
E7.5_WT_1,E7.5,WT
E7.5_WT_2,E7.5,WT
E7.5_WT_3,E7.5,WT
E7.5_WT_4,E7.5,WT
E7.5_WT_5,E7.5,WT
E7.5_WT_6,E7.5,WT
E7.5_WT_7,E7.5,WT
E7.5_WT_8,E7.5,WT
E7.5_WT_9,E7.5,WT
