gene_id,Stat3null_ESC_2iLIF_1,Stat3null_ESC_2iLIF_2,Stat3null_EpiSC_2,Stat3null_EpiSC_6,WT_ESC_2iLIF_1,WT_ESC_2iLIF_2,WT_ESC_2i_1,WT_ESC_2i_2,WT_EpiSC_13,WT_EpiSC_8
ENSMUSG00000051951.5|Xkr4,44,32,518,961,4,5,52,33,1384,1023
ENSMUSG00000102851.1|Gm18956,0,0,0,4,0,0,0,0,6,0
ENSMUSG00000103377.1|Gm37180,0,0,43,37,0,0,0,0,68,51
ENSMUSG00000103025.1|Gm37686,0,0,7,24,0,0,0,0,41,19
ENSMUSG00000089699.1|Gm1992,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201.1|Gm37329,0,0,24,28,0,0,0,0,55,24
ENSMUSG00000103161.1|Gm38148,0,0,29,55,0,12,0,0,118,63
ENSMUSG00000104017.1|Gm37363,37,0,15,10,12,4,0,0,48,15
ENSMUSG00000103147.1|Gm7341,13,2,13,22,4,2,0,2,14,31
ENSMUSG00000102331.1|Gm19938,29,18,86,89,2,5,3,3,215,72
ENSMUSG00000025902.13|Sox17,45,32,115,212,128,109,182,103,355,633
ENSMUSG00000104238.1|Gm37587,0,0,0,4,0,0,0,0,0,10
ENSMUSG00000098104.1|Gm6085,60,88,228,196,57,40,58,94,419,253
ENSMUSG00000103922.1|Gm6123,214,167,88,83,67,37,12,37,133,69
ENSMUSG00000033845.13|Mrpl15,9728,9423,3233,4422,8253,8035,8790,8953,5858,4927
ENSMUSG00000102275.1|Gm37144,61,74,67,122,31,53,108,39,158,108
ENSMUSG00000025903.14|Lypla1,8316,11018,6964,10884,8075,8517,8652,9228,15324,10618
ENSMUSG00000104217.1|Gm37988,3,11,0,3,3,9,2,6,4,5
ENSMUSG00000033813.15|Tcea1,13989,16287,10696,16023,11763,11688,10792,10876,21281,17347
ENSMUSG00000062588.4|Gm6104,112,76,134,219,148,45,88,100,200,167
ENSMUSG00000103280.1|Gm37277,5,6,51,64,2,0,16,0,104,59
ENSMUSG00000002459.17|Rgs20,41,22,213,413,70,99,0,18,613,307
ENSMUSG00000091305.1|Gm17100,0,0,0,0,0,0,0,0,4,0
ENSMUSG00000085623.1|Gm16041,0,0,8,47,8,0,0,5,39,4
ENSMUSG00000091665.1|Gm17101,0,0,0,0,4,2,0,0,0,2
ENSMUSG00000033793.12|Atp6v1h,4894,5236,1871,3005,7768,8141,4251,4369,4792,3389
ENSMUSG00000102653.1|Gm37079,5,0,0,4,2,9,0,0,7,0
ENSMUSG00000104046.1|Gm37567,1,1,0,0,2,0,3,1,0,0
ENSMUSG00000025905.13|Oprk1,7,35,53,150,12,0,27,23,246,74
ENSMUSG00000033774.4|Npbwr1,8,0,0,9,0,5,0,6,15,8
ENSMUSG00000025907.14|Rb1cc1,1304,2239,3649,5747,1627,2140,2087,2028,8981,5765
ENSMUSG00000090031.2|4732440D04Rik,43,38,238,288,56,30,37,41,529,327
ENSMUSG00000103845.1|Gm19026,15,8,38,37,17,6,44,13,45,45
ENSMUSG00000033740.17|St18,0,20,0,0,5,0,0,0,15,0
ENSMUSG00000104385.1|Gm7449,8,0,0,0,0,7,0,0,0,0
ENSMUSG00000102135.1|Gm37108,0,0,0,0,49,62,0,69,31,0
ENSMUSG00000102213.1|Gm37489,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629.1|Gm5694,9,0,0,0,0,0,0,0,0,6
ENSMUSG00000051285.17|Pcmtd1,3393,4335,5367,5758,4293,4597,3657,3154,5799,7315
ENSMUSG00000098201.1|Gm26983,0,0,38,21,0,1,0,0,31,26
ENSMUSG00000103509.1|Gm38372,66,57,606,572,91,76,73,57,587,797
ENSMUSG00000048538.7|Gm9826,823,1106,756,1026,640,461,792,729,1223,1042
ENSMUSG00000102768.1|Gm19002,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797.6|Gm26901,93,40,212,206,60,71,59,29,393,149
ENSMUSG00000103067.1|Gm30414,9,12,119,156,16,14,0,16,202,83
ENSMUSG00000025909.16|Sntg1,16,0,27,20,19,7,0,0,51,31
ENSMUSG00000102647.1|Gm38024,0,0,4,0,0,0,0,0,0,0
ENSMUSG00000086235.1|Gm16284,0,0,4,0,0,2,2,0,8,0
ENSMUSG00000102253.1|Gm38259,0,0,0,0,8,4,0,0,0,0
ENSMUSG00000093970.1|Gm23358,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884.1|Gm37005,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086195.1|Gm6152,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504.1|Gm7445,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693.2|Gm7493,0,4,2,3,1,1,0,0,10,9
ENSMUSG00000103819.1|Gm38008,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871.1|Gm37143,0,0,0,3,4,0,0,0,22,5
ENSMUSG00000084353.1|Gm15452,266,338,44,58,280,276,286,232,72,84
ENSMUSG00000103933.1|Gm36964,4,2,3,1,1,2,5,2,4,4
ENSMUSG00000076135.1|Gm24276,1,0,2,2,0,1,0,0,1,1
ENSMUSG00000102316.1|Gm37629,2,0,0,0,0,0,0,0,0,3
ENSMUSG00000025911.14|Adhfe1,98,48,74,86,261,321,69,50,130,165
ENSMUSG00000079671.8|2610203C22Rik,0,0,12,10,0,0,0,0,12,3
